fighter_name,Height,Weight,Reach,Stance,DOB,Affiliation,Born,Fighting out of
Alex Caceres,"5' 10""",145 lbs.,"73""",Southpaw,"Jun 20, 1988",MMA Lab,"Miami, Florida, United States","Miami, Florida"
Vince Cachero,"5' 6""",145 lbs.,"68""",Orthodox,"Nov 07, 1989",A4 Fitness,"Kaneohe, Hawaii","Los Angeles, California"
Priscila Cachoeira,"5' 7""",125 lbs.,"65""",Orthodox,"Aug 19, 1988",Paraná Vale Tudo,"Rio de Janeiro, Rio de Janeiro, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil"
Joanne Calderwood,"5' 6""",125 lbs.,"65""",Orthodox,"Dec 23, 1985",Syndicate MMA,"Irvine, Scotland","Las Vegas, NV"
Cynthia Calvillo,"5' 4""",115 lbs.,"64""",Orthodox,"Jul 13, 1987",,"San Jose, California","San Jose, California"
Frank Camacho,"5' 10""",170 lbs.,"73""",Orthodox,"May 18, 1989",Trench Tech,"Saipan, Northern Mariana Islands",Guam
Fabricio Camoes,"5' 10""",155 lbs.,"71""",Orthodox,"Dec 23, 1978",Kings MMA,"Rio de Janeiro, Rio de Janeiro, Brazil","San Diego, California"
Chris Camozzi,"6' 2""",185 lbs.,"75""",Orthodox,"Nov 20, 1986",factoryX Muay Thai,"Alameda, California, United States","Lakewood, Colorado"
Brian Camozzi,"6' 2""",170 lbs.,"78""",Orthodox,"Jun 24, 1991",factoryX Muay Thai,United States,"Parker, Colorado"
Shane Campbell,"6' 0""",155 lbs.,"71""",Orthodox,"Jan 21, 1987",Shaolin Muay Thai,Canada,Canada
Will Campuzano,"5' 9""",125 lbs.,"70""",Orthodox,"May 27, 1986",Campuzano MMA,"Acapulco, Mexico","Dallas, Texas"
Aleksa Camur,"6' 1""",205 lbs.,"74""",Orthodox,"Sep 25, 1995",Strong Style Fight Team,United States,"Broadview Heights, Ohio"
Chico Camus,"5' 6""",125 lbs.,"66""",Orthodox,"Jan 26, 1985",Roufusport MMA Academy,"Milwaukee, Wisconsin","Milwaukee, Wisconsin"
Luiz Cane,"6' 2""",185 lbs.,"77""",Southpaw,"Apr 24, 1981",,Brazil,Brazil
Guido Cannetti,"5' 6""",135 lbs.,"68""",Southpaw,"Dec 19, 1979",Our Town MMA,"Buenos Aires, Argentina","Buenos Aires, Argentina"
Jared Cannonier,"5' 11""",185 lbs.,"77""",Switch,"Mar 16, 1984",MMA Lab,United States,Alaska
Steve Cantwell,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 08, 1986",One Kick's Gym,"Long Beach, California, United States","Las Vegas, Nevada"
Bryan Caraway,"5' 8""",135 lbs.,"68""",Orthodox,"Aug 04, 1984",,"Yakima, Washington, United States","Goldendale, Washington"
Chris Cariaso,"5' 3""",125 lbs.,"64""",Southpaw,"May 27, 1981",Fight and Fitness,"San Jose, California, United States","San Francisco, California"
Antonio Carlos Junior,"6' 2""",185 lbs.,"79""",Orthodox,"Mar 16, 1990",American Top Team,"Joao Pessoa, Paraiba, Brazil","Salvador, Bahia, Brazil"
Spike Carlyle,"5' 8""",145 lbs.,"71""",Switch,"May 06, 1993",The Treigning Lab,"San Diego, California","San Diego, California"
Francis Carmont,"6' 3""",205 lbs.,"78""",Orthodox,"Oct 11, 1981",Tristar Gym,"Paris, France","Montreal, Quebec"
Liz Carmouche,"5' 6""",125 lbs.,"66""",Orthodox,"Feb 19, 1984",Team Hurricane Awesome,United States,"San Diego, California"
Roan Carneiro,"5' 11""",170 lbs.,"76""",Orthodox,"Jun 02, 1978",American Top Team,"Rio de Janeiro, Rio de Janeiro, Brazil","Atlanta, Georgia"
Ariane Carnelossi,"5' 2""",115 lbs.,"61""",Orthodox,"Nov 17, 1992",Inside Muay Thai,"Presidente Prudente, Sao Paulo, Brazil","Presidente Prudente, Sao Paulo, Brazil"
Luana Carolina,"5' 6""",125 lbs.,"69""",Orthodox,"Jun 11, 1993",Capital da Luta,Brazil,"Sao Paulo, Sao Paulo, Brazil"
Antonio Carvalho,"5' 9""",145 lbs.,"70""",Orthodox,"May 30, 1979",Bruckmann Martial Arts,"Sault Ste. Marie, Ontario, Canada","Oshawa, Ontario"
Shane Carwin,"6' 2""",265 lbs.,"80""",Orthodox,"Jan 04, 1975",,"Greeley, Colorado, United States","Denver, Colorado"
Johnny Case,"5' 10""",155 lbs.,"72""",Orthodox,"Jun 28, 1989",MMA Lab,"Jefferson, Iowa, United States","Glendale, Arizona"
Kevin Casey,"5' 11""",185 lbs.,"77""",Southpaw,"Jun 15, 1981",Rickson Gracie Jiu-Jitsu,"Hawthorne, California","Hawthorne, California"
Cortney Casey,"5' 7""",125 lbs.,"67""",Orthodox,"May 05, 1987",,"Mesa, Arizona, United States","Glendale, Arizona"
John Castaneda,"5' 6""",135 lbs.,"71""",Switch,"Dec 18, 1991",Mankato Martial Arts,United States,"Mankato, Minnesota"
Danny Castillo,"5' 9""",155 lbs.,"71""",Orthodox,"Aug 25, 1979",Team Alpha Male,"San Francisco, California, United States","Sacramento, California"
Nick Catone,"6' 0""",185 lbs.,"72""",Southpaw,"Sep 01, 1981",Ricardo Almeida Jiu Jitsu,"Englewood, New Jersey, United States","Brick, New Jersey"
Rafael Cavalcante,"6' 1""",205 lbs.,"74""",Orthodox,"Apr 14, 1980",Team Nogueira,Brazil,Brazil
Magnus Cedenblad,"6' 5""",185 lbs.,"79""",Orthodox,"Apr 10, 1982",Pancrase Gym Sweden,Sweden,"Stockholm, Sweden"
Yosdenis Cedeno,"5' 8""",155 lbs.,"69""",Orthodox,"Feb 12, 1985",Blackzilians,"Havana, Cuba","Miami, Florida, United States"
Henry Cejudo,"5' 4""",135 lbs.,"64""",Orthodox,"Feb 09, 1987",Fight Ready MMA,"Los Angeles, California, United States","Phoenix, Arizona"
Donald Cerrone,"6' 1""",155 lbs.,"73""",Orthodox,"Mar 29, 1983",BMF Ranch,"Denver, Colorado, United States","Albuquerque, New Mexico"
Luan Chagas,"6' 0""",170 lbs.,"75""",Orthodox,"Jun 17, 1993",Gile Ribeiro Team,"Navirai, Mato Grosso do Sul, Brazil","Curitiba, Parana, Brazil"
Alex Chambers,"5' 3""",115 lbs.,"63""",Southpaw,"Oct 25, 1978",VT-1 Gym,Australia,Australia
Ernest Chavez,"5' 8""",145 lbs.,"70""",Orthodox,"Jun 27, 1983",Total MMA Studios,United States,California
Danny Chavez,"5' 8""",145 lbs.,"67""",Orthodox,"Mar 14, 1987",MMA Masters,United States,"Miami, Florida"
Macy Chiasson,"5' 11""",135 lbs.,"72""",Orthodox,"Jul 27, 1991",Fortis MMA,"New Orleans, Louisiana, United States","Dallas, Texas"
Michael Chiesa,"6' 1""",170 lbs.,"75""",Southpaw,"Dec 07, 1987",Sikjitsu,United States,"Spokane Valley, Washington"
Giga Chikadze,"6' 0""",145 lbs.,"74""",Orthodox,"Aug 25, 1988",Kings MMA,"Tbilisi, Georgia","Huntington Beach, California"
Khamzat Chimaev,"6' 2""",170 lbs.,"75""",Orthodox,"May 01, 1994",Allstars Training Center,"Chechnya, Russia",Sweden
Dooho Choi,"5' 10""",145 lbs.,"70""",Orthodox,"Apr 10, 1991",Busan Team MAD,South Korea,South Korea
SeungWoo Choi,"6' 0""",145 lbs.,"74""",Orthodox,"Nov 03, 1992",MOB Training Center,South Korea,South Korea
John Cholish,"5' 11""",155 lbs.,"74""",Orthodox,"Dec 17, 1983",Renzo Gracie Academy,"Hoboken, New Jersey, United States","New York, New York"
Ryo Chonan,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 08, 1976",TRIBE TOKYO MMA,"Tsuruoka, Yamagata, Japan","Iruma, Saitama, Japan"
Katlyn Chookagian,"5' 9""",125 lbs.,"68""",Orthodox,"Dec 28, 1988",Allstar Brazilian Jiu-Jitsu,"Quakertown, Pennsylvania","Jersey City, New Jersey"
Joachim Christensen,"6' 3""",205 lbs.,"76""",Orthodox,"Nov 07, 1978",Arte Suave,"Copenhagen, Denmark","Copenhagen, Denmark"
Hannah Cifers,"5' 1""",115 lbs.,"62""",Orthodox,"Jun 26, 1992",Embrace Martial Arts,"Oxford, North Carolina","Wake Forest, North Carolina"
Misha Cirkunov,"6' 3""",205 lbs.,"77""",Orthodox,"Feb 27, 1987",Xtreme Couture Toronto,"Riga, Latvia","Toronto, Ontario"
Heather Clark,"5' 6""",115 lbs.,"64""",Orthodox,"Sep 19, 1980",,United States,"Las Vegas, Nevada"
Devin Clark,"6' 0""",205 lbs.,"75""",Orthodox,"Apr 12, 1990",,"Sioux Falls, South Dakota, United States","Albuquerque, New Mexico"
Jessica-Rose Clark,"5' 5""",125 lbs.,"64""",Orthodox,"Nov 28, 1987",Combat Sports Academy,"Innisfail, Australia","Las Vegas, Nevada"
Mitch Clarke,"5' 10""",155 lbs.,"73""",Orthodox,"Nov 24, 1985",Hayabusa Training Centre,"Saskatoon, Saskatchewan, Canada","Edmonton, Alberta"
Rich Clementi,"5' 9""",155 lbs.,"72""",Southpaw,"Mar 31, 1976",Team Voodoo,"Edison, New Jersey, United States","Slidell, Lousiana"
Chris Clements,"5' 10""",170 lbs.,"70""",Orthodox,"Feb 09, 1976",Adrenaline MMA Training & Fitness,"Chatham, Ontario, Canada","London, Ontario"
Felipe Colares,"5' 8""",135 lbs.,"69""",Orthodox,"Mar 31, 1994",Team Nogueira,"Macapa, Amapa, Brazil","Macapa, Amapa, Brazil"
Mark Coleman,"6' 1""",205 lbs.,"75""",Orthodox,"Dec 20, 1964",,"Fremont, Ohio, United States","Columbus, Ohio, USA"
Clay Collard,"5' 11""",145 lbs.,"73""",Orthodox,"Mar 10, 1993",,United States,"Las Vegas, Nevada, USA"
Jake Collier,"6' 3""",205 lbs.,"78""",Orthodox,"Oct 25, 1988",No Excuses MMA,USA,USA
Carlos Condit,"6' 2""",170 lbs.,"75""",Orthodox,"Apr 26, 1984",Jackson Wink MMA,"Albuquerque, New Mexico, United States","Albuquerque, New Mexico"
Tristan Connelly,"5' 10""",170 lbs.,"68""",Orthodox,"Dec 12, 1985",Checkmat Vancouver,"Victoria, British Columbia, Canada","Vancouver, British Columbia"
Amanda Cooper,"5' 3""",115 lbs.,"64""",Switch,"Oct 22, 1991",Scorpion Fighting System,"Lansing, Michigan, United States","Fowlerville, Michigan, United States"
Chris Cope,"6' 0""",170 lbs.,"72""",Orthodox,"Mar 05, 1983",The Arena MMA,"Carmel Valley, California, United States","San Diego, California"
Akira Corassani,"5' 8""",145 lbs.,"68""",Orthodox,"Aug 27, 1982",Team Kaobon Liverpool,"Gothenburg, Sweden","New York City, New York"
Daniel Cormier,"5' 11""",235 lbs.,"72""",Orthodox,"Mar 20, 1979",American Kickboxing Academy,"Lafayette, Louisiana, United States","San Jose, California"
Bethe Correia,"5' 5""",135 lbs.,"64""",Orthodox,"Jun 22, 1983",Pitbull Brothers,"Campina Grande, Paraiba, Brazil","Natal, Rio Grande do Norte, Brazil"
Tracy Cortez,"5' 5""",135 lbs.,"65""",Orthodox,"Dec 10, 1993",,"Phoenix, Arizona","Scottsdale, Arizona"
Paulo Costa,"6' 1""",185 lbs.,"72""",Orthodox,"Apr 21, 1991",Team Borracha,"Belo Horizonte, Minas Gerais, Brazil","Belo Horizonte, Minas Gerais, Brazil"
Randy Costa,"5' 9""",135 lbs.,"73""",Switch,"Jul 06, 1994",Lauzon Mixed Martial Arts,United States,"Taunton, Massachusetts"
Patrick Cote,"5' 11""",170 lbs.,"75""",Orthodox,"Feb 29, 1980",Brazilian Top Team Canada,"Rimouski, Quebec, Canada","Montreal, Quebec"
Rashad Coulter,"5' 11""",205 lbs.,"76""",Orthodox,"Nov 27, 1981",Fortis MMA,United States,"Dallas, Texas"
Randy Couture,"6' 1""",205 lbs.,"75""",Orthodox,"Jun 22, 1963",Xtreme Couture,"Everett, Washington, United States","Las Vegas, Nevada"
Ryan Couture,"5' 10""",155 lbs.,"73""",Orthodox,"Aug 27, 1982",Xtreme Couture,"Edmonds, Washington, United States","Las Vegas, Nevada"
Colby Covington,"5' 11""",170 lbs.,"72""",Orthodox,"Feb 22, 1988",MMA Masters,United States,"Fort Lauderdale, Florida"
Nathan Coy,"5' 10""",170 lbs.,"69""",Southpaw,"Jul 24, 1978",American Top Team,United States,"Coconut Creek, Florida"
Andrew Craig,"6' 1""",170 lbs.,"76""",Orthodox,"Jan 15, 1986",American Combative Systems,"Austin, Texas, United States","Houston, Texas"
Paul Craig,"6' 3""",205 lbs.,"76""",Orthodox,"Nov 27, 1987",Scottish Hit Squad,"Airdrie, Scotland","Coatbridge, Scotland"
Tim Credeur,"6' 3""",185 lbs.,"75""",Orthodox,"Jul 09, 1977",Gladiators Academy,"Lafayette, Louisiana, United States","Breaux Bridge, Louisiana"
Kevin Croom,"5' 11""",155 lbs.,"73""",Orthodox,"Jul 15, 1987",,"Columbia, Missouri, United States","Kansas City, Missouri"
Allen Crowder,"6' 3""",245 lbs.,"76""",Orthodox,"Nov 08, 1989",New Millenium Martial Arts & Conditioning,United States,"Mebane, North Carolina, United States"
Daron Cruickshank,"5' 8""",155 lbs.,"72""",Switch,"Jun 11, 1985",Michigan Top Team,"Westland, Michigan","Detroit, Michigan"
Jimmy Crute,"6' 2""",205 lbs.,"74""",Orthodox,"Mar 04, 1996",Greco and Stewies house,Australia,"Melbourne, Victoria, Australia"
Dominick Cruz,"5' 8""",135 lbs.,"68""",Orthodox,"Mar 09, 1985",Alliance MMA,"San Diego, California","San Diego, California"
Aalon Cruz,"6' 0""",145 lbs.,"78""",Switch,"Sep 20, 1989",DEFWAR,"Tampa, Florida","Tampa, Florida"
Josh Culibao,"5' 10""",155 lbs.,"73""",Orthodox,"May 24, 1994",Igor MMA,Australia,"Sydney, New South Wales"
Zak Cummings,"6' 0""",185 lbs.,"75""",Southpaw,"Aug 02, 1984",Springfield Fight Club,"Kansas City, Missouri","Kansas City, Missouri"
Patrick Cummins,"6' 2""",205 lbs.,"76""",Orthodox,"Nov 16, 1980",Reign MMA,United States,"Dana Point, California"
Luke Cummo,"6' 0""",170 lbs.,"74""",Orthodox,"Apr 27, 1980",Serra Jiu-Jitsu,United States,"New Hyde Park, New York"
Jeff Curran,"5' 6""",135 lbs.,"69""",Orthodox,"Sep 02, 1977",Team Curran MMA,"Woodstock, Illinois, United States","Island Lake, Illinois"
Kailin Curran,"5' 4""",115 lbs.,"65""",Orthodox,"Apr 11, 1991",Reign MMA,United States,"Ewa Beach, Hawaii"
Ion Cutelaba,"6' 1""",205 lbs.,"75""",Southpaw,"Dec 14, 1993",CSA Moldova,"Chișinău, Moldova","Chișinău, Moldova"
Henrique da Silva,"6' 3""",205 lbs.,"76""",Orthodox,"Sep 01, 1989",Hard Fight,USA,USA
Alex Da Silva,"5' 8""",155 lbs.,"73""",Orthodox,"Feb 04, 1996",Astra Fight Team,Brazil,"Balneario Camboriu, Santa Catarina, Brazil"
Nicolas Dalby,"5' 11""",170 lbs.,"74""",Orthodox,"Nov 16, 1984",Rumble Sports,Denmark,"Copenhagen, Denmark"
Paul Daley,"5' 9""",170 lbs.,"76""",Orthodox,"Feb 21, 1983",Team Rough House,"London, England","Nottingham, England"
Aisling Daly,"5' 2""",115 lbs.,"64""",Orthodox,"Dec 24, 1987",Straight Blast Gym Ireland,Ireland,"Dublin, Leinster, Ireland"
Rodrigo Damm,"5' 7""",155 lbs.,"71""",Orthodox,"Feb 03, 1980",Alliance Jiu-Jitsu,"Afonso Claudio, Espirito Santo, Brazil","Vila Velha, Espirito Santo, Brazil"
Jarjis Danho,"6' 3""",265 lbs.,"74""",Orthodox,"Oct 15, 1983",Hammers Team,"Al-Malikiyah, Syria","Bielefeld, Germany"
Mac Danzig,"5' 8""",155 lbs.,"70""",Orthodox,"Jan 02, 1980",Danzig MMA,"Cleveland, Ohio","Los Angeles, California"
Beneil Dariush,"5' 10""",155 lbs.,"72""",Southpaw,"May 06, 1989",Kings MMA,"Urmia, Iran","Huntington Beach, California"
Kyle Daukaus,"6' 3""",185 lbs.,"76""",Southpaw,"Feb 27, 1993",Martinez BJJ,"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania"
Chris Daukaus,"6' 3""",250 lbs.,"76""",Orthodox,"Sep 25, 1989",Martinez BJJ,"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania"
Marcus Davis,"5' 10""",170 lbs.,"70""",Southpaw,"Aug 24, 1973",Sityodtong Boston,"Houlton, Maine, United States","Bangor, Maine"
Phil Davis,"6' 2""",205 lbs.,"79""",Orthodox,"Sep 25, 1984",Alliance MMA,"Harrisburg, Pennsylvania, United States","San Diego, California"
Mike Davis,"6' 0""",145 lbs.,"72""",Orthodox,"Oct 07, 1992",Pete White Boxing & MMA,"South Cairo, New York","Orlando, Florida"
Alexis Davis,"5' 6""",125 lbs.,"68""",Orthodox,"Oct 04, 1984",Cesar Gracie Jiu Jitsu,"Port Colborne, Ontario, Canada","Port Colborne, Ontario"
Brandon Davis,"5' 10""",135 lbs.,"72""",Orthodox,"May 08, 1990","American Top Team D’Iberville, MS",United States,Mississippi
Hakeem Dawodu,"5' 8""",145 lbs.,"73""",Orthodox,"Jul 02, 1991",Champion's Creed Martial Arts,Canada,"Calgary, Alberta"
Grant Dawson,"5' 10""",145 lbs.,"72""",Switch,"Feb 20, 1994",Glory MMA and Fitness,"Stromsburg, Nebraska","Lee's Summit, Missouri"
Jason Day,"6' 0""",185 lbs.,"72""",Orthodox,"May 19, 1981",Canadian Martial Arts Centre,"Lethbridge, Alberta, Canada","Lethbridge, Alberta"
Martin Day,"5' 10""",135 lbs.,"73""",Orthodox,"Nov 10, 1988",Martial Arts Co.,"Nagoya, Japan","Kailua, Honolulu County, Hawaii"
Yorgan De Castro,"6' 0""",250 lbs.,"74""",Orthodox,"Dec 19, 1986",Regiment Training Center,Cape Verde,USA
Geraldo de Freitas,"5' 7""",135 lbs.,"72""",Orthodox,"Sep 30, 1991",Rio Fighters,Brazil,"Conselheiro Lafaiete, Minas Gerais, Brazil"
Philip De Fries,"6' 5""",250 lbs.,"79""",Orthodox,"Apr 21, 1986",Team Fish Tank,"Sunderland, England, United Kingdom","Sunderland, England"
Chris de la Rocha,"6' 3""",250 lbs.,"80""",Orthodox,"May 15, 1979",,"San Jose, California, United States","Washougal, Washington, USA"
Montana De La Rosa,"5' 7""",125 lbs.,"68""",Orthodox,"Feb 14, 1995",Elevation Fight Team,"Texas, United States","Arlington, Texas, USA"
Mark De La Rosa,"5' 6""",135 lbs.,"65""",Orthodox,"Aug 31, 1994",Genesis BJJ,"Lubbock, Texas","Fort Worth, Texas"
Mike de la Torre,"5' 11""",145 lbs.,"71""",Orthodox,"Sep 22, 1986",Team Hurricane Awesome,United States,"Glendale, Arizona, USA"
Isabela de Padua,"5' 3""",125 lbs.,"64""",Orthodox,"Sep 04, 1991",Nova Geração Muay Thai,"Mogi-Guacu, Sao Paulo, Brazil","Mogi-Guacu, Sao Paulo, Brazil"
Germaine de Randamie,"5' 9""",135 lbs.,"71""",Orthodox,"Apr 24, 1984",American Kickboxing Academy,"Utrecht, Netherlands","San Jose, California"
Rolando Delgado,"6' 3""",155 lbs.,"77""",Orthodox,"Nov 22, 1981",Westside Fight Team,"San Diego, California, United States","Little Rock, Arkansas"
Roland Delorme,"5' 9""",135 lbs.,"71""",Orthodox,"Dec 18, 1983",Winnipeg Academy of Mixed Martial Arts,"Winnipeg, Manitoba, Canada","Winnipeg, Manitoba"
Jon Delos Reyes,"5' 6""",125 lbs.,"67""",Orthodox,"Aug 19, 1987",Countershot Kickboxing Academy,"Ordot Chalan Pago, Guam","Tamuning, Guam"
Chris Dempsey,"5' 10""",185 lbs.,"72""",Orthodox,"Sep 08, 1987",Cold Steel MMA,"Ambridge, Pennsylvania","Ambridge, Pennsylvania"
Jason Dent,"5' 10""",155 lbs.,"71""",Orthodox,"Jun 12, 1980",GriffonRawl MMA Academy,United States,"Cincinnati, Ohio, United States"
Mackenzie Dern,"5' 4""",115 lbs.,"63""",Orthodox,"Mar 24, 1993",Black House MMA,"Phoenix, Arizona","Los Angeles, California"
Tony DeSouza,"6' 0""",170 lbs.,"70""",Southpaw,"Jul 26, 1974",,Peru,"Lima, Peru"
Alessio Di Chirico,"6' 0""",185 lbs.,"74""",Orthodox,"Dec 12, 1989",Gloria Fight Center,"Rome, Italy","Rome, Italy"
Cyrille Diabate,"6' 6""",205 lbs.,"81""",Southpaw,"Oct 06, 1973",Snake Team,"La Celle-Saint-Cloud, France","Rueil-Malmaison, France"
Marc Diakiese,"5' 10""",155 lbs.,"73""",Orthodox,"Mar 16, 1993",American Top Team,Democratic Republic of Congo,"Doncaster, South Yorkshire, England"
Tyler Diamond,"5' 7""",145 lbs.,"69""",Orthodox,"Mar 18, 1991",Team Alpha Male,"Oroville, California","Sacramento, California"
Hacran Dias,"5' 8""",155 lbs.,"69""",Orthodox,"Jun 16, 1984",Nova Uniao,Brazil,Brazil
Nick Diaz,"6' 1""",185 lbs.,"76""",Southpaw,"Aug 02, 1983",Cesar Gracie Jiu Jitsu,"Stockton, California, United States","Stockton, California"
Nate Diaz,"6' 0""",170 lbs.,"76""",Southpaw,"Apr 16, 1985",Cesar Gracie Jiu Jitsu,"Stockton, California, United States","Stockton, California"
TJ Dillashaw,"5' 6""",125 lbs.,"67""",Orthodox,"Feb 07, 1986",,"Sonora, California, United States","Sacramento, California"
Russell Doane,"5' 7""",135 lbs.,"70""",Orthodox,"Aug 13, 1986",,United States,"Honolulu, Hawaii"
Drew Dober,"5' 8""",155 lbs.,"70""",Southpaw,"Oct 19, 1988",Elevation Fight Team,United States,"Denver, Colorado"
Shana Dobson,"5' 6""",125 lbs.,"69""",Orthodox,"Mar 30, 1989",Elevation Fight Team,United States,"Washington, D.C."
John Dodson,"5' 3""",135 lbs.,"66""",Orthodox,"Sep 26, 1984",Jackson Wink MMA,"Albuquerque, New Mexico, United States","Albuquerque, New Mexico"
Joe Doerksen,"6' 0""",185 lbs.,"75""",Orthodox,"Oct 09, 1977",Canadian Fighting Center,"New Bothwell, Manitoba, Canada","Winnipeg, Manitoba"
Roman Dolidze,"6' 2""",205 lbs.,"76""",Orthodox,"Jul 15, 1988",,"Batumi, Georgia","Odessa, Ukraine"
CB Dollaway,"6' 2""",185 lbs.,"76""",Orthodox,"Aug 10, 1983",Power MMA,"Mount Gilead, Ohio, United States","Tempe, Arizona"
Cody Donovan,"6' 3""",205 lbs.,"74""",Orthodox,"Feb 20, 1981",Jackson Wink MMA,"Waterloo, Iowa, United States","Denver, Colorado"
Rafael Dos Anjos,"5' 8""",170 lbs.,"70""",Southpaw,"Oct 26, 1984",Kings MMA,"Rio de Janeiro, Brazil","Rio de Janeiro, Brazil"
Junior Dos Santos,"6' 4""",238 lbs.,"77""",Orthodox,"Jan 30, 1984",American Top Team,"Caçador, Santa Catarina, Brazil","Salvador, Bahia, Brazil"
Anderson Dos Santos,"5' 5""",135 lbs.,"70""",Orthodox,"Jul 24, 1985",Babuino Gold Team,"Sao Paulo, Sao Paulo, Brazil","Sao Paulo, Sao Paulo, Brazil"
Tiago dos Santos e Silva,"5' 9""",145 lbs.,"70""",Orthodox,"Apr 12, 1987",Team Nogueira,Brazil,Brazil
Danny Downes,"6' 0""",155 lbs.,"72""",Orthodox,"Apr 08, 1986",Roufusport MMA Academy,"Chicago, Illinois, United States","Milwaukee, Wisconsin"
Tomasz Drwal,"6' 1""",205 lbs.,"76""",Orthodox,"Jan 22, 1982",Szkoła Walki Drwala,"Nowy Sącz, Poland","Kraków, Poland"
Todd Duffee,"6' 3""",260 lbs.,"78""",Orthodox,"Dec 06, 1985",,"Evansville, Indiana, United States","San Jose, California"
Joe Duffy,"5' 10""",155 lbs.,"73""",Orthodox,"Feb 18, 1988",Tristar Gym,"Donegal, Ireland","South Wales, United Kingdom"
Jessamyn Duke,"5' 11""",135 lbs.,"73""",Orthodox,"Jun 24, 1986",UWF USA,"Blackey, Kentucky","Los Angeles, California"
Norma Dumont,"5' 7""",135 lbs.,"67""",Orthodox,"Oct 01, 1990",Gordin Fight Team,"Belo Horizonte, Minas Gerais, Brazil","Belo Horizonte, Minas Gerais, Brazil"
Evan Dunham,"5' 10""",155 lbs.,"70""",Southpaw,"Dec 18, 1981",,"Eugene, Oregon, United States","Las Vegas, Nevada"
Tom Duquesnoy,"5' 7""",135 lbs.,"68""",Orthodox,"Jun 21, 1993",Kajyn MMA Fighters,"Lyon, France","Paris, France"
Reuben Duran,"5' 7""",135 lbs.,"71""",Orthodox,"Jul 02, 1983",Pinnacle MMA,"Chula Vista, California, United States","Redlands, California"
Cody Durden,"5' 7""",135 lbs.,"67""",Southpaw,"Mar 29, 1991",American Top Team Atlanta,United States,"Georgia, United States"
Merab Dvalishvili,"5' 6""",135 lbs.,"68""",Orthodox,"Jan 10, 1991",Serra Jiu-Jitsu,"Tbilisi, Georgia","Garden City Park, New York"
David Dvorak,"5' 5""",125 lbs.,"68""",Orthodox,"Jun 05, 1992",All Sports Academy,Czech Republic,"Hradec Kralove, Czech Republic"
Matt Dwyer,"6' 4""",170 lbs.,"76""",Orthodox,"Dec 17, 1989",Havok Martial Arts,"Kelowna, British Columbia, Canada","Kelowna, British Columbia"
Rolando Dy,"5' 8""",145 lbs.,"69""",Orthodox,"Aug 11, 1990",Biagtan Muay Thai,Philippines,Philippines
Marvin Eastman,"5' 9""",185 lbs.,"73""",Orthodox,"Jun 08, 1971",J-Sect MMA,United States,"Las Vegas, Nevada"
Mike Easton,"5' 6""",135 lbs.,"70""",Southpaw,"Jan 25, 1984",Team Lloyd Irvin,"Anacostia, Washington, D.C., United States","Camp Springs, Maryland, United States"
Brian Ebersole,"6' 0""",170 lbs.,"73""",Southpaw,"Nov 27, 1980",American Kickboxing Academy,"La Porte, Indiana, United States","Phuket, Thailand"
Mark Eddiva,"5' 8""",145 lbs.,"68""",Orthodox,"Feb 16, 1986",Lakay Central Gym,Philippines,Philippines
Frankie Edgar,"5' 6""",135 lbs.,"68""",Orthodox,"Oct 16, 1981",Ricardo Almeida Jiu Jitsu,"Toms River, New Jersey, United States","Toms River, New Jersey"
Johnny Eduardo,"5' 7""",135 lbs.,"71""",Orthodox,"Aug 03, 1978",Nova Uniao,Brazil,Brazil
Yves Edwards,"5' 9""",155 lbs.,"73""",Southpaw,"Sep 30, 1976",American Top Team Beaumont	,"Nassau, Bahamas","Woodlands, Texas"
Justin Edwards,"5' 10""",155 lbs.,"70""",Orthodox,"Jan 26, 1983",JG MMA Academy,"Mansfield, Ohio, United States","Bellefontaine, Ohio"
